time, angle, angular_vel, pressure_read_top, pressure_read_bot, pressure_needed_top, pressure_needed_bot, err, cumul_err
9, 0.0625, 0.0, -8.167617, 47.78284, -0.8601301, 54.96028, 1.569705, 0
38, 0.0625, 0.001111111, -8.075541, 47.87492, -0.8601301, 56.73041, 1.569705, 0.1569705
141, 0.0625, 0.001111111, -8.351768, 47.82888, -0.8601301, 57.77949, 1.569705, 0.3139411
232, 0.0625, -0.001111111, -8.305731, 47.7368, -0.8601301, 57.77949, 1.569705, 0.4709116
327, 0.0625, -0.001111111, -8.213655, 47.69077, -0.8601301, 57.77949, 1.569705, 0.6278822
437, 0.0625, 0.001111111, -8.397806, 47.967, -0.8601301, 57.77949, 1.569705, 0.7848527
530, 0.0625, -0.001111111, -8.397806, 47.78284, -0.8601301, 57.77949, 1.569705, 0.9418233
643, 0.0625, 0.0, -8.305731, 47.69077, -0.8601301, 57.77949, 1.569705, 1.098794
738, 0.0625, -0.001111111, -8.397806, 46.17152, -0.8601301, 57.77949, 1.569705, 1.255764
840, 0.0625, -0.001111111, -8.259692, 47.78284, -0.8601301, 57.77949, 1.569705, 1.412735
932, 0.0625, 0.001111111, -8.167617, 47.69077, -0.8601301, 57.77949, 1.569705, 1.569705
1031, 0.0625, 0.001111111, -8.351768, 47.7368, -0.8601301, 57.77949, 1.569705, 1.726676
1139, 0.0625, 0.0, -8.397806, 47.7368, -0.8601301, 57.77949, 1.569705, 1.883646
1231, 0.0625, 0.001111111, -8.305731, 47.7368, -0.8601301, 57.77949, 1.569705, 2.040617
1341, 0.0625, -0.001111111, -8.351768, 47.7368, -0.8601301, 57.77949, 1.569705, 2.197587
1434, 0.0625, 0.0, -8.167617, 47.78284, -0.8601301, 57.77949, 1.569705, 2.354558
1531, 0.0625, -0.002222222, -8.075541, 47.7368, -0.8601301, 57.77949, 1.569705, 2.511528
1639, -0.0, -0.02111111, -8.259692, 47.82888, -0.8601301, 57.77949, 1.570796, 2.668608
1731, -0.4375, -0.07666667, -8.259692, 48.01303, -0.8601301, 57.77949, 1.578432, 2.826451
1842, 0.6875, 0.4144444, -8.351768, 47.7368, -0.8601301, 57.77949, 1.558797, 2.982331
1934, 3.5, 0.6677778, -8.259692, 47.69077, -0.8601301, 57.77949, 1.50971, 3.133302
2030, 7.8125, 1.012222, -8.305731, 47.7368, -0.8601301, 57.77949, 1.434443, 3.276746
2141, 15.125, 1.324444, -8.213655, 47.967, -0.8601301, 57.77949, 1.306815, 3.407428
2240, 22.375, 1.308889, -8.213655, 47.87492, -0.8601301, 57.77949, 1.180279, 3.525456
2324, 28.4375, 1.155556, -8.167617, 47.69077, -0.8601301, 57.77949, 1.074468, 3.632903
2434, 34.9375, 0.9666666, -8.397806, 47.7368, -0.8601301, 57.77949, 0.961022, 3.729005
2530, 39.375, 0.8777778, -8.167617, 47.78284, -0.8601301, 57.77949, 0.883573, 3.817362
2639, 44.375, 0.7944445, -8.351768, 47.87492, -0.8601301, 57.77949, 0.7963066, 3.896993
2731, 48.5, 0.8633333, -8.213655, 47.92096, -0.8601301, 57.77949, 0.7243117, 3.969424
2827, 53.4375, 0.9144444, -8.351768, 47.69077, -0.8601301, 57.77949, 0.638136, 4.033237
2934, 58.6875, 0.8166667, -8.351768, 47.78284, -0.8601301, 57.77949, 0.5465063, 4.087888
3032, 62.5625, 0.6333333, -8.121579, 47.7368, -0.8601301, 57.77949, 0.4788748, 4.135776
3141, 66.0, 0.5766666, -8.213655, 47.92096, -0.8601301, 57.77949, 0.418879, 4.177663
3232, 69.125, 0.5477777, -8.351768, 47.78284, -0.8601301, 57.77949, 0.3643376, 4.214097
3329, 71.9375, 0.5233333, -8.259692, 47.7368, -0.8601301, 57.77949, 0.3152502, 4.245622
3437, 75.0, 0.4322222, -8.351768, 47.69077, -0.8601301, 57.77949, 0.2617995, 4.271802
3531, 76.8125, 0.3055556, -8.167617, 48.05907, -0.8601301, 57.77949, 0.2301654, 4.294818
3640, 78.5625, 0.2544445, -8.305731, 47.7368, -0.8601301, 57.77949, 0.199622, 4.314781
3733, 80.375, 0.3544445, -8.397806, 47.7368, -0.8601301, 57.77949, 0.1679879, 4.33158
3829, 82.4375, 0.4455556, -8.213655, 48.01303, -0.8601301, 57.77949, 0.1319906, 4.344779
3939, 85.0, 0.3533333, -8.351768, 47.92096, -0.8601301, 57.77949, 0.08726656, 4.353505
4031, 86.625, 0.2511111, -8.213655, 47.64473, -0.8601301, 57.77949, 0.05890489, 4.359396
4139, 87.75, 0.1566667, -8.213655, 47.69077, -0.8601301, 57.77949, 0.03926992, 4.363322
4234, 88.6875, 0.1555556, -8.167617, 47.92096, 14.38465, 36.89627, 0.0229075, 0
4330, 89.3125, 0.1022222, -8.213655, 48.10511, 14.99511, 36.28582, 0.01199925, 0
4433, 90.125, 0.16, -8.259692, 48.01303, 15.7887, 35.49223, -0.002181649, 0
4530, 91.0625, 0.1888889, -8.259692, 47.69077, 16.70437, 34.57656, -0.01854408, 0
4640, 91.6875, 0.003333333, -8.351768, 47.87492, 17.31482, 33.96611, -0.02945232, 0
4739, 91.5, -0.04777778, -8.213655, 47.92096, 17.13169, 34.14924, -0.02617991, 0
4828, 91.5, 0.03555556, -8.351768, 47.82888, 17.13169, 34.14924, -0.02617991, 0
4948, 91.6875, -0.01444444, -8.305731, 47.7368, 17.31482, 33.96611, -0.02945232, 0
5031, 91.5625, -0.02111111, -8.259692, 47.78284, 17.19273, 34.0882, -0.02727067, 0
